No.;Timecode In;Timecode Out;Subtitle
440;00:08:52:01;00:08:52:01;FABstB Die Geldstrafe sollÿÿJ^
441;00:08:52:01;00:08:53:07;Die Geldstrafe soll
442;00:08:53:09;00:08:53:09;FABst dbei mindestens 4 % des Jahresumsatzes( ( »z
443;00:08:53:09;00:08:53:09;FABst8 in der EU liegen.ÿÿ)
444;00:08:53:09;00:08:57:08;"bei mindestens 4 % des Jahresumsatzes

in der EU liegen."
445;00:08:59:15;00:08:59:15;FABst¡d Afrika droht( ( eine neue Hun
446;00:08:59:15;00:08:59:15;FABst$gerkatastrophe.ÿÿ=Ò
447;00:08:59:15;00:09:02:07;"Afrika droht

eine neue Hungerkatastrophe."
448;00:09:02:09;00:09:02:09;FABst¢RLaut des UN-Welternährungsprogrammsÿÿ¾Î
449;00:09:02:09;00:09:04:19;Laut des UN-WelternÈahrungsprogramms
450;00:09:04:21;00:09:04:21;FABst£dsind zentral- und westafrikanische( (
451;00:09:04:21;00:09:04:21;FABst0 Staaten betroffen.ÿÿ1ÿ
452;00:09:04:21;00:09:08:03;"sind zentral- und westafrikanische

Staaten betroffen."
453;00:09:08:05;00:09:08:05;FABst¤P48 Millionen Menschen könnten dort<i>¨
454;00:09:08:05;00:09:10:10;48 Millionen Menschen kÈonnten dort
455;00:09:10:12;00:09:10:12;FABst¥d in den kommenden Monaten ( ( nicht°
456;00:09:10:12;00:09:10:12;FABst2 genug zu essen haben.7¬x
457;00:09:10:12;00:09:13:16;"in den kommenden Monaten

nicht genug zu essen haben."
458;00:09:13:18;00:09:13:18;FABst¦d So viele wie( ( seit zehn JahÔd
459;00:09:13:18;00:09:13:18;FABst$ren nicht mehr.ÿÿ=É<
460;00:09:13:18;00:09:16:03;"So viele wie

seit zehn Jahren nicht mehr."
461;00:09:16:05;00:09:16:05;FABst§d Allein in Burkina Faso drohen ( ( ZehntV
462;00:09:16:05;00:09:16:05;FABst8ausende daran zu sterben.ÿÿ)º
463;00:09:16:05;00:09:19:21;"Allein in Burkina Faso drohen

Zehntausende daran zu sterben."
464;00:09:19:23;00:09:19:23;FABst¨N Das Land liegt an der Sahelzone.ÿÿ
465;00:09:19:23;00:09:22:03;Das Land liegt an der Sahelzone.
466;00:09:22:05;00:09:22:05;FABst©d Dort herrschen zudem( ( soziale K<u>*
467;00:09:22:05;00:09:22:05;FABst.onflikte und Terror.ÿÿ3ì
468;00:09:22:05;00:09:25:21;"Dort herrschen zudem

soziale Konflikte und Terror."
469;00:09:27:21;00:09:27:21;FABstªJ Die Landesregierung von NRWÿÿÆ
470;00:09:27:21;00:09:29:16;Die Landesregierung von NRW
471;00:09:29:18;00:09:29:18;FABst«d entschuldigte sich( ( für die Pannyf
