Timecode In,Timecode Out,Subtitle
00:11:29:14,00:11:33:02,"Die Strecke zu eng, die Anzahl der Motorraeder zu hoch."
00:11:33:04,00:11:37:14,So die Kritik u.a. vom dreifachen Ironman-Weltmeister Jan Frodeno.
00:11:38:15,00:11:39:24,Es war eine Farce.
00:11:40:13,00:11:42:18,Und dann noch Gegenverkehr ...
00:11:44:03,00:11:47:03,"Ich sah es nicht, ich hatte den Kopf unten."
00:11:47:11,00:11:50:19,"Es war so eng, da duerfen keine Motorraeder sein."
00:11:53:01,00:11:56:24,Der Veranstalter aeusserte sich nicht zu den Sicherheitsvorwuerfen.
00:11:57:03,00:12:01:02,Er setzte das Rennen trotz des tragischen Unfalls weiter fort.
00:12:02:12,00:12:05:05,Nach dem Sieg im DFB-Pokal feiert RB Leipzig
00:12:05:09,00:12:07:24,seine erfolgreiche Titelverteidigung.
00:12:08:06,00:12:12:11,Tausende empfingen die Spieler am Nachmittag vor dem Rathaus.
00:12:12:17,00:12:17:02,Das Finale gestern Abend im Berliner Olympiastadion gewannen die Sachsen
00:12:17:04,00:12:19:15,mit 2:0 gegen Eintracht Frankfurt.
00:12:20:20,00:12:24:11,Um 22.18 Uhr gestern Abend reckte RB-Kapitaen Willi Orban
00:12:24:15,00:12:27:05,den DFB-Pokal in den Berliner Nachthimmel.
00:12:27:09,00:12:29:09,Auftakt eines Partymarathons.
00:12:29:13,00:12:32:21,Krachen liessen es die Sieger schon in der Kabine.
00:12:35:05,00:12:37:23,"Die Akkus waren schnell wieder aufgeladen,"
00:12:38:00,00:12:41:07,nachdem das Endspiel gegen Frankfurt zum Kraftakt wurde.
00:12:41:09,00:12:43:16,Nkunkus doppelt abgefaelschter Schuss
00:12:43:18,00:12:45:09,oeffnete die Tuer zum Titel.
00:12:45:11,00:12:48:19,Szoboslai machte fuenf Minuten vor dem Ende alles klar.
00:12:48:23,00:12:51:06,Heute ging es zurueck in die Messestadt.
00:12:51:08,00:12:53:02,Zweiter Akt der Siegesfeier:
00:12:53:04,00:12:55:11,"Station eins, das Rathaus von Leipzig"
00:12:55:13,00:12:58:03,mit Eintrag ins Goldene Buch der Stadt.
00:12:58:07,00:13:02:03,"Trainer Marco Rose, der erste Fussballer aus Leipzig,"
00:13:02:11,00:13:04:09,dem diese Ehre zuteil wurde.
00:13:05:17,00:13:08:16,"Die Nacht war grossartig, die Fahrt war nett,"
00:13:10:17,00:13:11:21,grossartig war:
00:13:13:01,00:13:16:00,"Als die Abfahrten auf der Autobahn kamen,"
00:13:17:00,00:13:18:06,Delitzsch und so.
00:13:18:23,00:13:23:14,Darauf sind wir stolz und freuen uns mit allen hier in Leipzig.
00:13:24:20,00:13:28:12,#Auf dem Burgplatz vor dem Rathaus warteten bereits 8000 Fans
00:13:28:14,00:13:33:01,"auf ihre Helden und den Pokal, der dann auch praesentiert wurde."
00:13:33:20,00:13:36:07,Danach war noch lange nicht Schluss.
00:13:36:09,00:13:40:05,Im offenen Siegertruck ging es weiter auf die Festwiese
00:13:40:09,00:13:43:23,"vor der Red Bull Arena, von vielen Fans begleitet."
00:13:44:17,00:13:48:13,Dort klingt die zweite grosse Pokalsause in Folge fuer RB Leipzig
00:13:48:15,00:13:51:09,irgendwann aus.
00:13:51:20,00:13:55:04,"Die Wettervorhersage fuer morgen, Montag, den 5. Juni:"
00:13:56:06,00:13:59:23,Im Suedosten sorgt ein Hoehentief fuer wechselhaftes Wetter.
00:14:00:03,00:14:03:15,"Von den Alpen bis ins suedoestliche Bayern nachts Schauer,"
00:14:03:19,00:14:07:22,"in Nordseenaehe Hochnebelfelder, die sich bis zum Mittag aufloesen."
00:14:08:01,00:14:12:06,"Sonst morgen Sonne, im Suedosten neben Sonne teils dichte Wolken."
00:14:12:10,00:14:14:14,"Hier und da Schauer oder Gewitter,"
00:14:14:16,00:14:17:04,vor allem in der Suedosthaelfte Bayerns.
00:14:24:11,00:14:27:20,"Am Dienstag vom Osten bis zur Mitte Regen oder Schauer,"
00:14:27:22,00:14:30:13,"mitunter Gewitter, sonst meist sonnig."
00:14:30:17,00:14:34:14,"Am Mittwoch Sonne und Wolken, in der Mitte Schauer und Gewitter,"
00:14:34:16,00:14:36:10,die kraeftig sein koennen.
00:14:36:14,00:14:39:20,"Am Donnerstag im Norden Sonne, sonst wechselhaft."
00:14:41:23,00:14:45:20,Um 22.45 Uhr in den tagesthemen mit Aline Abboud:
00:14:46:02,00:14:50:12,Den Pflegenotstand durch Personal aus dem Ausland zu bekaempfen.
00:14:51:10,00:14:55:03,"Und die Sicherheitsdebatte, die der Tod eines Motorradfahrers"
00:14:55:05,00:14:57:12,beim Ironman in Hamburg ausloeste.
00:14:58:24,00:15:01:19,Ich wuensche Ihnen einen schoenen Abend.
