Timecode In,Timecode Out,Subtitle
00:08:33:21,00:08:38:00,Einen niedrigeren Steuersatz beim ersten selbstgenutzten Haus.
00:08:38:02,00:08:40:18,Das finde ich einen guten Vorschlag.
00:08:40:20,00:08:44:13,Christian Lindner ist in Gespraechen zur Umsetzung.
00:08:46:06,00:08:49:05,"Wie kann es sein, dass wir seit Jahren"
00:08:49:07,00:08:51:21,ueber die Wohnungsnot sprechen:
00:08:51:23,00:08:56:22,Und die Situation sich trotz aller Bemuehen weiter verschlechtert?
00:08:58:15,00:09:02:07,Die Bauindustrie hat Kapazitaeten aufgebaut.
00:09:02:09,00:09:06:21,Auch im Bauhandwerk sind die Ausbildungszahlen hochgegangen
00:09:07:23,00:09:10:18,und es wurden Kapazitaeten ausgebaut.
00:09:10:20,00:09:14:12,Aber die Bevoelkerung waechst schneller als prognostiziert.
00:09:14:14,00:09:18:04,"Die Baubranche ist diejenige,"
00:09:18:06,00:09:21:21,die am schnellsten auf Zinssteigerungen reagiert.
00:09:22:07,00:09:25:11,Deswegen haben wir eine doppelte Herausforderung.
00:09:25:13,00:09:28:21,"Wir haben Menschen, die zusaetzlich gekommen sind."
00:09:28:23,00:09:33:02,Gleichzeitig gibt es Probleme wegen der gestiegenen Zinsen.
00:09:33:04,00:09:37:07,Hier setzt der Staat an durch ein Zinsverbilligungsprogramm.
00:09:38:13,00:09:42:12,"Gestern wurde beschlossen, dass ab 2024 neue Heizungen"
00:09:42:15,00:09:45:19,auf fossile Brennstoffe verzichten muessen.
00:09:45:21,00:09:49:22,Das macht Neubauten neben den gestiegenen Zinsen
00:09:49:24,00:09:52:20,und Materialkosten noch teurer.
00:09:53:18,00:09:56:12,Wie wollen Sie diesen Trend aufhalten?
00:09:57:05,00:09:58:11,Nicht zwingend.
00:09:58:13,00:10:03:02,"Ein Haus baut man nicht fuer die naechsten zwei, sondern 20 Jahre."
00:10:04:24,00:10:08:11,Der CO2-Preis wird kuenftig stark steigen.
00:10:09:11,00:10:13:22,Niemand ist heute mit einer ÈOl- oder Gasheizung gut beraten.
00:10:14:12,00:10:17:13,Es ist sehr teuer und umweltschaedlich.
00:10:18:13,00:10:23:01,"Viele private Bauherren haben schon 2022 darauf gesetzt,"
00:10:24:00,00:10:28:08,"fossilfrei zu heizen, weil die CO2-Bepreisung kommen wird."
