Timecode In,Timecode Out,Subtitle,Program,Date
00:11:34:11,00:11:37:10,Sie sind nicht in Kontakt mit der Drohne gekommen,tagesthemen,15.03.23
00:11:37:14,00:11:40:03,und sind zu ihrer Basis zurueckgekehrt.,tagesthemen,15.03.23
00:11:40:07,00:11:43:08,"Abgestuerzt ist die Drohne ueber dem Schwarzen Meer,",tagesthemen,15.03.23
00:11:43:12,00:11:45:16,suedwestlich der Halbinsel Krim.,tagesthemen,15.03.23
00:11:45:20,00:11:49:14,Ungewoehnlich sind Aufklaerungsfluege von Drohnen in der Region,tagesthemen,15.03.23
00:11:49:16,00:11:51:11,seit Kriegsausbruch nicht.,tagesthemen,15.03.23
00:11:51:13,00:11:54:14,"Auch nicht die Abfangmanoever von russischer Seite,",tagesthemen,15.03.23
00:11:54:18,00:11:55:22,so das Pentagon.,tagesthemen,15.03.23
00:11:55:24,00:11:58:03,"Kriegstaktik, sagen Experten.",tagesthemen,15.03.23
00:11:58:09,00:12:01:05,"Es ist fuer die USA von Interesse zu wissen,",tagesthemen,15.03.23
00:12:01:07,00:12:04:02,was die russischen Marineschiffe machen.,tagesthemen,15.03.23
00:12:04:04,00:12:07:19,Mit diesen Informationen koennen sie die Ukraine unterstuetzen.,tagesthemen,15.03.23
00:12:07:23,00:12:12:11,"Etwa dabei, Bewegungen der Schiffe aus der Region heraus zu verfolgen.",tagesthemen,15.03.23
00:12:12:18,00:12:15:19,"Dass es nun aber zu einem Absturz gekommen ist,",tagesthemen,15.03.23
00:12:15:21,00:12:18:23,belastet die russisch-amerikanischen Beziehungen.,tagesthemen,15.03.23
00:12:19:00,00:12:22:00,"Von aggressivem, riskantem und gefaehrlichem Handeln",tagesthemen,15.03.23
00:12:22:02,00:12:26:02,der russischen Piloten spricht US-Verteidigungsminister Austin.,tagesthemen,15.03.23
00:12:27:01,00:12:29:04,"Es ist wichtig, dass Grossmaechte",tagesthemen,15.03.23
00:12:29:09,00:12:32:21,Vorbilder in Sachen Transparenz und Kommunikation sind.,tagesthemen,15.03.23
00:12:32:23,00:12:36:07,"Die USA werden weiter dort Operationen durchfuehren,",tagesthemen,15.03.23
00:12:36:09,00:12:38:15,wo internationales Recht es erlaubt.,tagesthemen,15.03.23
00:12:38:19,00:12:41:08,"Es obliegt Russland, mit ihren Flugzeugen",tagesthemen,15.03.23
00:12:41:12,00:12:45:05,auf sichere und professionelle Art zu operieren.,tagesthemen,15.03.23
00:12:45:11,00:12:49:16,"Es sei wichtig, weiterhin miteinander sprechen zu koennen.",tagesthemen,15.03.23
00:12:49:18,00:12:52:22,Denn die USA wollen die Ukraine weiter unterstuetzen,tagesthemen,15.03.23
00:12:52:24,00:12:55:22,und Drohnen ueber dem Schwarzen Meer einsetzen.,tagesthemen,15.03.23
00:12:55:24,00:12:59:04,Aber auch eine Eskalation mit Russland vermeiden.,tagesthemen,15.03.23
00:12:59:06,00:13:01:03,Es bleibt ein Drahtseilakt.,tagesthemen,15.03.23
00:13:03:12,00:13:06:19,Der Drohnen-Absturz war nicht die einzige Interaktion,tagesthemen,15.03.23
00:13:06:21,00:13:09:15,zwischen einem NATO-Land und Russland gestern.,tagesthemen,15.03.23
00:13:09:17,00:13:13:13,"ÈUber der Ostsee stiegen deutsche Eurofighter auf,",tagesthemen,15.03.23
00:13:13:15,00:13:17:24,um einen russischen Kampfjet zu identifizieren: von Estland aus.,tagesthemen,15.03.23
00:13:18:01,00:13:20:09,So etwas kommt regelmaessig vor.,tagesthemen,15.03.23
00:13:20:23,00:13:23:21,Seit August uebernimmt die deutsche Luftwaffe,tagesthemen,15.03.23
00:13:23:23,00:13:26:14,die Luftraumueberwachung ueber dem Baltikum.,tagesthemen,15.03.23
00:13:26:16,00:13:28:21,Das macht die NATO seit 2004.,tagesthemen,15.03.23
00:13:28:23,00:13:31:16,Die baltischen Laender haben keine Kampfjets.,tagesthemen,15.03.23
00:13:31:18,00:13:33:12,Aber im Ukraine-Krieg,tagesthemen,15.03.23
00:13:33:14,00:13:37:16,hat der Schutz der NATO-Ost-Flanke besondere Bedeutung gewonnen.,tagesthemen,15.03.23
00:13:38:09,00:13:39:19,Markus Preiss.,tagesthemen,15.03.23
00:13:41:00,00:13:43:07,Das sieht doch heute ganz gut aus.,tagesthemen,15.03.23
00:13:43:11,00:13:46:11,"Keine Auffaelligkeiten am Triebwerk, keine Risse,",tagesthemen,15.03.23
00:13:46:13,00:13:48:14,keine ÈOllecks an der Hydraulik.,tagesthemen,15.03.23
00:13:48:23,00:13:52:05,Kann ja einiges kaputtgehen bei einem Kampfjet.,tagesthemen,15.03.23
00:13:52:10,00:13:54:11,Reifen verschleissen natuerlich.,tagesthemen,15.03.23
00:13:54:13,00:13:57:02,Beim Luftfahrzeug schneller als beim Auto.,tagesthemen,15.03.23
00:13:57:04,00:13:59:22,Hauptfeldwebel S. geht sein Schaetzchen ab.,tagesthemen,15.03.23
00:13:59:24,00:14:02:16,"Der Eurofighter ist eine Diva, sagt er.",tagesthemen,15.03.23
00:14:02:18,00:14:05:19,Jeder Jet habe seine eigenen technischen Allueren.,tagesthemen,15.03.23
00:14:05:21,00:14:08:17,Vom scharfen Blick des Fluggeraete-Mechanikers,tagesthemen,15.03.23
00:14:08:19,00:14:10:17,haengt das Leben der Piloten ab.,tagesthemen,15.03.23
00:14:10:19,00:14:13:15,Das hier sind Sensoren fuer Flugdaten.,tagesthemen,15.03.23
00:14:13:20,00:14:17:16,"Druck, Anstellwinkel sollten immer frei und sauber sein.",tagesthemen,15.03.23
00:14:18:08,00:14:22:21,Denn es kann jederzeit losgehen in diesen Zeiten und an diesem Ort:,tagesthemen,15.03.23
