Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration
Tagesschau,02 Bundestag: Diskussion Heizungsgesetz,O-Ton,Amira Mohamed Ali,Fraktionsvorsitzende Die Linke,"(Bauministerin Geywitz und der SPD fällt erst jetzt auf,dass die Mehrkosten für die Wärmepumpen und die notwendigen Umbauten in Mehrfamilienhäusern auf dieMieter abgewälzt werden, und dadurch die Mieten massiv steigen)",24.05.2023,20:04:33.07,"0'17"""
Tagesschau,02 Bundestag: Diskussion Heizungsgesetz,O-Ton,Lukas Köhler,stellvertretender Fraktionsvorsitzender FDP,"(Es ist klar, dass es eine Novelle desGebäudeenergiegesetzes braucht; es ist auch klar, so wie es aus der Regierung gekommen ist, wird es nichtdurch dieses Parlament gehen, es braucht eine Novellierung, hier ist der richtige Ort, wo wir das diskutierenkönnen)",24.05.2023,20:04:59.10,"0'14"""
Tagesschau,02 Bundestag: Diskussion Heizungsgesetz,O-Ton,Andreas Audretsch,stellvertretender Fraktionsvorsitzender Bündnis 90/Die Grünen,"(Das Gesetz mussberaten werden, muss hier beraten werden; das ist Aufgabe von uns Parlamentariern, lass Sie uns dieBlockade an der Stelle auflösen)",24.05.2023,20:05:22.21,"0'09"""
Tagesschau,Verhandlungen Gebäudeenergie-Gesetz Di 20:00 05,Einspieler,,,,24.05.2023,,"2'00"""
Tagesschau,05 Verhandlungen Gebäudeenergie-Gesetz,Sachinhalt,Constantin Schreiber,Moderation,Der Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) zu mehr Klimaschutz in Gebäuden hat in der Regierungskoalition und darüber hinaus in den vergangenen Wochen für reichlich Ärger gesorgt. Nun zeigt sich der Bundeswirtschaftsminister bei wichtigen Stellschrauben gesprächsbereit und will mit seinen Koalitionskollegen Kompromisslinien ausarbeiten. Bildinhalt,30.05.2023,20:08:05.16,"2'00"""
Tagesschau,05 Verhandlungen Gebäudeenergie-Gesetz,Bildinhalt,Constantin Schreiber,Moderation,Handwerker installieren Wärmepumpe in Heizungskeller,30.05.2023,20:08:05.16,"0'22"""
Tagesschau,05 Verhandlungen Gebäudeenergie-Gesetz,Bildinhalt,Constantin Schreiber,Moderation,"Bundesministerium für Wirtschaft und Klimaschutz (Schild nah), Schriftzug",30.05.2023,20:08:28.05,"0'07"""
Tagesschau,05 Verhandlungen Gebäudeenergie-Gesetz,Bildinhalt,Constantin Schreiber,Moderation,Grafik: Gebäudeenergiegesetz geplante Nachbesserungen O-Ton,30.05.2023,20:08:35.21,"0'18"""
Tagesschau,05 Verhandlungen Gebäudeenergie-Gesetz,O-Ton,Jens Bernatschke,Monteur,(Lange Lieferzeiten für Wärmepumpen),30.05.2023,20:08:15.04,"0'08"""
Tagesschau,05 Verhandlungen Gebäudeenergie-Gesetz,O-Ton,Frank Schäffler,Fraktion FDP,"(Müssen auf Anreize setzen; Menschen müssen selbst entscheiden, welcheHeizungen sie einbauen oder nicht und das muss man über den Preis gestalten und nicht über einseitigeordnungsrechtliche Maßnahmen)",30.05.2023,20:08:59.23,"0'14"""
Tagesschau,05 Verhandlungen Gebäudeenergie-Gesetz,O-Ton,Katharina Dröge,Fraktionsvorsitzende Bündnis 90/Die Grünen,"(Sehr ärgerlich, dass wir momentan in einerblockierten Situation sind; FDP muss jetzt den Schritt machen, dass wir wieder handlungsfähig sind)",30.05.2023,20:09:23.10,"0'09"""
