,Content Type,Date,Program,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
3081,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Das Mitnehmen hat Habeck versaeumt.,Expert,Mitnehmen Habeck versaeumt
3082,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Sie flog aus drei Landesparlamenten.,Expert,fliegen drei landesparlamenten
3083,O-Ton,2023-09-08,tagesthemen,Vorsitzender CSU-Landesgruppe im Deutschen Bundestag,Alexander Dobrindt,"Gegen die Union, fuer ihr veraendertes Heizungsgesetz.",CDU/CSU,Union Fuer veraendert Heizungsgesetz
3084,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Lindner gab die Parole aus,",Expert,Lindner geben Parole
3085,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Den Hoehenflug, dann die Krisen.",Expert,Hoehenflug Krise
3086,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,man muesse sichtbarer in der Regierung werden.,Expert,muesse Sichtbarer Regierung
3087,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,kann man das Auf und Ab so gut beobachten.,Expert,ab gut beobachten
3088,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Durch den Streit, haben sich die Personen veraendert?",Expert,Streit Person veraendern
3089,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Bei keinem anderen Regierungsmitglied,Expert,Regierungsmitglied
3090,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Es gibt Misstrauen.,Expert,geben misstrauen
3092,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Im ersten Jahr war der Streit im Griff.,Expert,erster Jahr Streit Griff
3093,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Es ist auch ein Schaden fuer die Demokratie.,Expert,schaden Fuer Demokratie
3094,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Es war etwas anders:,Expert,
3096,O-Ton,2023-09-08,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Es sorgt dafuer, dass Kommunen mitgenommen werden.",Die Grünen,sorgen Dafuer Kommune mitnehmen
3098,O-Ton,2023-09-08,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Es sorgt fuer eine soziale Ausbalancierung.,Die Grünen,sorgen Fuer sozial Ausbalancierung
3099,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Auch die Gasumlage war eine Krise.,Expert,Gasumlage Krise
3100,O-Ton,2023-09-08,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Es ist ein gutes Gesetz.,Die Grünen,gut Gesetz
3101,O-Ton,2023-09-08,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Applaus von der ganzen Ampel.,Die Grünen,Applaus ganz Ampel
3102,O-Ton,2023-09-08,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Die das Zustandekommen des Heizungsgesetzes,Die Grünen,Zustandekommen Heizungsgesetz
3103,O-Ton,2023-09-08,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,wohl am liebsten schnell vergessen moechte.,Die Grünen,wohl lieb schnell vergessen Moecht
3106,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Dokumentarfilmer mit Einblicken in die politische Welt in Berlin.,Expert,Dokumentarfilmer einblicken politisch Welt Berlin
3107,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Dieser Entwurf wurde an die Bild-Zeitung durchgestochen.,Expert,Entwurf Bildzeitung durchgestochen
3109,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Die hat daraufhin eine Kampagne gefahren.,Expert,daraufhin Kampagne fahren
3110,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Ein FDP-Abgeordneter nutzte den Begriff Heizungsverbotsgesetz.,Expert,Fdpabgeordneter nutzen Begriff Heizungsverbotsgesetz
3111,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Dass sollte den Menschen Angst machen.,Expert,sollen Mensch Angst
3112,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Das hat es auch.,Expert,
3113,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Welchen politischen Schaden hat das angerichtet?,Expert,politisch Schaden anrichten
3114,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Ein dreifacher Schaden:,Expert,dreifach Schaden
3115,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Die Koalition hat schlechte Umfragewerte.,Expert,Koalition schlecht umfragewerte
3116,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Sie wird kein ehrgeizigeres Heizungsgesetz mehr entwickeln.,Expert,ehrgeizig Heizungsgesetz mehr entwickeln
3117,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Haben die Buerger das Gefuehl, wir werden nicht vernuenftig regiert,",Expert,Buerger Gefuehl vernuenftig regieren
3118,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,verlieren sie das Vertrauen.,Expert,verlieren vertrauen
3119,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Das ist fuer niemanden gut.,Expert,Fuer niemand gut
3120,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Wir erinnern uns an ein Selfie von Rot-Gruen-Gelb.,Expert,erinnern Selfie Rotgruengelb
3121,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Weshalb ist kurze Zeit spaeter diese Koalition im Dauerstreit,",Expert,weshalb kurz Zeit spaeter Koalition Dauerstreit
3122,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,und zwar vor aller ÈOffentlichkeit?,Expert,èoffentlichkeit
3123,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Die FDP hat das parteipolitisch genutzt.,Expert,FDP parteipolitisch nutzen
3124,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Er hat sich gefangen, aber er zeigt das.",Expert,gefangen zeigen
3125,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,dann seien die Leute auch so flexibel.,Expert,Leute flexibel
3126,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Das sind andere Typen.,Expert,typen
3127,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Scholz sagt:,Expert,Scholz sagen
3128,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Die der AfD haben sich verdoppelt gegenueber der Bundestagswahl.,Expert,afd verdoppeln Gegenueber Bundestagswahl
3129,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Die Umfragewerte der Ampel-Parteien sinken.,Expert,umfragewerte Ampelparteie sinken
3130,O-Ton,2023-09-08,tagesthemen,Heizungsbauer,Ulrich Menck,Und auch die Investition im Raum steht.,Expert,Investition Raum stehen
3131,O-Ton,2023-09-08,tagesthemen,Heizungsbauer,Ulrich Menck,Weil die bei einer neuen Gasheizung zunaechst geringer ausfaellt,Expert,neu Gasheizung zunaechst gering ausfaellen
3132,O-Ton,2023-09-08,tagesthemen,Heizungsbauer,Ulrich Menck,"als bei einer Waermepumpe, ist die Nachfrage hoch.",Expert,Waermepumpe Nachfrage hoch
3133,O-Ton,2023-09-08,tagesthemen,Heizungsbauer,Ulrich Menck,"Der Hersteller, von dem Menck Gaskessel bezieht,",Expert,Hersteller Menck Gaskessel beziehen
3136,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Ohne Zweifel.,Expert,Zweifel
3137,O-Ton,2023-09-08,tagesthemen,,Ulrich Menck,Zwei Monate spaeter lagen 500.000 Bestellungen vor.,Expert,zwei Monat Spaeter liegen 500000 Bestellung
3138,O-Ton,2023-09-08,tagesthemen,,Ulrich Menck,Das ist von keinem Hersteller zu schaffen.,Expert,Hersteller schaffen
3139,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Was glauben Sie, steht die AfD durch diesen Streit so gut da?",Expert,glauben stehen afd Streit gut
3140,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Das sei in anderen wohlhabenden Gesellschaften nicht anders.,Expert,wohlhabend Gesellschaft
3141,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,aktuell scheinen sie alle zur AfD zu gehen.,Expert,aktuell scheinen afd gehen
3142,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,kann ich verstehen.,Expert,verstehen
3143,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Dass der Kanzler in so einer Situation sich Zeit nimmt,",Expert,Kanzler Situation Zeit nehmen
3144,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Das Draengeln ist unsere Aufgabe.,Expert,draengeln Aufgabe
3145,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Uns Journalisten geht es oft nicht schnell genug.,Expert,Journalist gehen oft schnell genug
3146,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Dass er sich Zeit fuer Entscheidungen nimmt, ist verstaendlich.",Expert,Zeit Fuer Entscheidung nehmen verstaendlich
3147,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Er hat Kohlekraftwerke laenger laufen lassen, auch drei AKW.",Expert,kohlekraftwerk Laenger laufen lassen drei akw
3148,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Er wurde fuer seine pragmatische Politik im letzten Jahr gefeiert.,Expert,Fuer pragmatisch Politik letzter Jahr feiern
3149,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Er dachte, wenn er dafuer gefeiert wird,",Expert,dachen Dafuer feiern
3150,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Man muss bei Klimapolitik ehrgeizig sein.,Expert,Klimapolitik ehrgeizig
3151,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Er hat versaeumt, die Menschen mitzunehmen.",Expert,versaeumt Mensch mitzunehmen
3152,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Hat er versaeumt, die Menschen mitzunehmen?",Expert,versaeumen Mensch mitzunehmen
3153,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,sind staerker.,Expert,Staerker
3154,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Die Beharrungskraefte in der Gesellschaft, in den Medien,",Expert,beharrungskraefte Gesellschaft Medium
3155,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,"Enttaeuschte Waehler bleiben oft der naechsten Wahl fern,",Expert,enttaeuschen Waehler bleiben oft naechst Wahl fern
3156,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Scholz und Lindner sind zurueckhaltender.,Expert,Scholz Lindner zurueckhaltender
