Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle,affiliation,Processed,Sentiment_Score
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"Ich bin sicher,",SPD,sicher,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,dass wir einen Anstieg der Sozialwohnungen sehen werden.,SPD,Anstieg Sozialwohnung sehen,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Erste Bundeslaender haben es geschafft:,SPD,erster Bundeslaender schaffen,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"Es fallen nicht mehr Wohnungen aus der Bindung,",SPD,fallen mehr Wohnung Bindung,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"sondern es stehen neue zur Verfuegung, z.B. Bremen.",SPD,stehen neu Verfuegung zb Bremen,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Sie haben sich mit Baubranchen-Vertretern getroffen.,SPD,baubranchenvertreter treffen,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Die fordern ein Sondervermoegen von 50 Mrd. Euro.,SPD,fordern Sondervermoegen 50 mrd Euro,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"Lohnt es, da mit dem Finanzminister drueber zu sprechen?",SPD,lohnen Finanzminister Drueber sprechen,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Sondervermoegen klingt ja immer nach Reichtum -,SPD,Sondervermoegen klingen ja immer Reichtum,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"Wir haben seitdem die Mittel erhoeht auf 14,5 Mrd.",SPD,seitdem Mittel erhoehen 145 mrd,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,ist aber zusaetzliche Schulden.,SPD,zusaetzlich Schuld,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"Daher muessen wir mit dem Geld auskommen, das der Staat hat.",SPD,daher muessen Geld auskommen Staat,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Die Schuldenbremse gilt.,SPD,Schuldenbremse gelten,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Ich spreche deshalb mit Christian Lindner ueber eine Neubaufoerderung,SPD,sprechen deshalb Christian Lindner ueber neubaufoerderung,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"fuer Familien, Genossenschaften und Private.",SPD,Fuer Familie genossenschafn privat,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Ein Sondervermoegen hiesse zu Lasten unserer Kinder Schulden aufzunehmen.,SPD,sondervermoeg hiesse Last Kind Schuld aufnehmen,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Das ist nicht gut.,SPD,gut,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Vielen Dank fuer das Gespraech.,SPD,viele dank Fuer Gespraech,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Sehr gerne.,SPD,gerne,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Das Gespraech haben wir aufgezeichnet.,SPD,Gespraech aufgezeichnen,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Die Wohnungsmisere und der Anteil der Regierung daran.,SPD,Wohnungsmisere Anteil Regierung daran,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Wir sind nicht mehr in den Corona-Jahren.,SPD,mehr coronajahren,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,war die Zahl von Minister Seehofer.,SPD,Zahl Minister Seehofer,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"Ja, aber die Zahl, die Sie genannt haben,",SPD,ja Zahl nennen,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Das war ... Aber jetzt sind Sie ja Ministerin.,SPD,  ja ministerin,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Hier setzt der Staat an durch ein Zinsverbilligungsprogramm.,SPD,setzen Staat zinsverbilligungsprogramm,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,"Gestern wurde beschlossen, dass ab 2024 neue Heizungen",SPD,gestern beschließen ab 2024 neu Heizunge,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,auf fossile Brennstoffe verzichten muessen.,SPD,fossil Brennstoff verzichten Muesse,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,Das macht Neubauten neben den gestiegenen Zinsen,SPD,Macht neubaun neben gestiegen Zins,0
O-Ton,2023-04-20,tagesthemen,"(Leichter Rückgang bei den hohen Baukosten für Eigenheime, über staatlicheFördermaßnahmen für Familien im Eigentumserwerb, für Genossenschaften, für den Bau von Azubi- undStudentenwohnheimen; über Maßnahmen, den Wohnungsbau preiswerter zu machen, über Gespräche vonBundesfinanzminister Christian Lindner, einen niedrigen Grunderwerbssteuersatz für das erste eigengenutzteHaus festzulegen; über den großen Wohnungsbedarf, gestiegene Baukosten und Zinsen; über Regelungenzum neuen Heizungsgesetz und staatlichen Fördermaßnahmen; über das bisher nicht erreichte Ziel derAmpel-Regierung, deutlich mehr Sozialwohnungen zu bauen; Ablehnung eines Sondervermögens für dieBaubranche wegen der damit verbundenen Schulden)",über staatliche,Klara Geywitz (Leichter Rückgang bei den hohen Baukosten für Eigenheime,und Materialkosten noch teurer.,SPD,materialkosen teuer,0
