Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,dass nicht mehr jeder Bereich fuer sich Klimaziele erreichen muss.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Ich wundere mich, dass die Gruenen diesen Paradigmen-Wechsel mitgehen,"
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,muss jedes Ressort selbst liefern.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,haetten wir nicht drei Tage verhandelt.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Wenn die Klimaziele insgesamt nicht eingehalten werden,"
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Die Sektoren koennen sich untereinander helfen.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Jedes Ressort behaelt seine Ziele.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Die Sektorziele im Klimaschutzgesetz bleiben erhalten.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Ich hab kein Problem mit marktwirtschaftlichen Instrumenten.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Ich muss einen Ausgleich leisten.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,wie kann eine Flaeche bestmoeglich genutzt werden.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Nein. Es gibt zukuenftig eine Agentur, die bestimmt,"
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Heisst das, man kann sich da freikaufen?"
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Stattdessen sollen jetzt auch Geldzahlungen fliessen koennen.
